Version;Order_ID;Date;Store;Store_ID;Longitude;Latitude;City_ID;City;Product_ID;Price;Quantity_Sold;Original_Sales_Price;Discount_Percent;Discount;Sales_Revenue;Gross_Margin
Actuals;4812;1-8-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS72;3,65;2;7,31;0,20;1,46;5,85;2,05
Actuals;18724;10-7-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS77;4,21;3;12,63;0,25;3,21;9,42;1,51
Actuals;5249;5-7-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS73;2,83;1;2,83;0,05;0,14;2,69;0,78
Actuals;19161;11-6-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS64;3,26;1;3,26;0,13;0,42;2,84;0,82
Actuals;5943;11-5-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS75;2,62;3;7,86;0,26;2,04;5,82;1,98
Actuals;19548;6-5-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS75;2,95;4;11,78;0,39;4,59;7,19;1,94
Actuals;6054;30-4-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS64;3,08;2;6,16;0,22;1,33;4,84;0,73
Actuals;20068;29-3-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS88;3,95;5;19,74;0,04;0,79;18,95;7,01
Actuals;6573;25-3-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS88;3,11;2;6,22;0,22;1,37;4,85;1,65
Actuals;20663;23-2-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS56;2,60;2;5,20;0,20;1,04;4,16;1,95
Actuals;7678;12-1-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS89;5,67;2;11,34;0,16;1,83;9,50;3,99
Actuals;7722;9-1-2014;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS89;2,37;1;2,37;0,09;0,20;2,17;0,63
Actuals;7921;28-12-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS56;2,95;2;5,89;0,20;1,18;4,71;1,27
Actuals;21535;24-12-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS51;3,84;5;19,20;0,47;9,04;10,15;1,73
Actuals;8347;30-11-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS73;3,10;1;3,10;0,07;0,21;2,89;0,98
Actuals;21922;29-11-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS62;2,51;1;2,51;0,13;0,33;2,18;0,44
Actuals;8523;16-11-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS54;3,59;3;10,77;0,32;3,44;7,32;2,05
Actuals;8531;15-11-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS64;3,48;5;17,41;0,46;7,95;9,47;2,27
Actuals;8727;31-10-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS77;2,59;3;7,78;0,33;2,57;5,21;2,35
Actuals;22992;8-9-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS62;2,60;1;2,60;0,13;0,34;2,26;1,18
Actuals;9785;10-8-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS51;3,69;1;3,69;0,06;0,22;3,47;1,49
Actuals;23737;13-7-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS51;2,37;1;2,37;0,11;0,25;2,12;0,57
Actuals;24064;9-6-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS75;3,08;1;3,08;0,13;0,39;2,70;0,46
Actuals;24661;14-3-2013;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS89;3,59;2;7,18;0,19;1,36;5,81;1,74
Actuals;25287;22-12-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS54;3,59;4;14,37;0,38;5,46;8,91;2,67
Actuals;11732;21-12-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS73;4,01;3;12,03;0,30;3,61;8,42;1,18
Actuals;12263;4-11-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS88;2,96;3;8,87;0,26;2,31;6,57;2,56
Actuals;13618;24-7-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS54;3,42;1;3,42;0,13;0,44;2,97;0,77
Actuals;397;25-6-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS77;3,33;3;10,00;0,31;3,10;6,90;2,48
Actuals;14339;16-5-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS72;2,86;2;5,71;0,15;0,87;4,85;0,97
Actuals;1352;25-3-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS72;2,95;2;5,89;0,24;1,41;4,48;1,25
Actuals;1482;16-3-2012;Ahoy Place (AP 3);ST166;-119,2224241;46,679451;CT433;OTHELLO;PDS62;3,59;4;14,37;0,35;5,03;9,34;2,90
Actuals;17339;8-10-2014;Ahoy Place (AP 10);ST764;-91,3305181;44,89586795;CT159;EAU CLAIRE;PDS75;2,95;380;1119,21;0,38;425,30;693,91;201,23
Actuals;21902;27-9-2013;Ahoy Place (AP 10);ST764;-91,3305181;44,89586795;CT159;EAU CLAIRE;PDS54;3,59;340;1221,77;0,34;415,40;806,37;225,78
Actuals;11661;26-12-2012;Ahoy Place (AP 10);ST764;-91,3305181;44,89586795;CT159;EAU CLAIRE;PDS75;2,66;110;292,27;0,11;32,15;260,12;109,25
Actuals;26518;17-9-2012;Ahoy Place (AP 10);ST764;-91,3305181;44,89586795;CT159;EAU CLAIRE;PDS75;2,19;240;526,26;0,24;126,30;399,96;139,98
Actuals;16733;24-9-2014;Ahoy Place (AP 2);ST163;-116,495559;43,63173984;CT386;NAMPA;PDS75;4,01;320;1283,38;0,32;410,68;872,70;191,99
Actuals;4533;22-8-2014;Ahoy Place (AP 2);ST163;-116,495559;43,63173984;CT386;NAMPA;PDS75;3,17;50;158,27;0,05;7,91;150,36;46,61
Actuals;20335;12-3-2014;Ahoy Place (AP 2);ST163;-116,495559;43,63173984;CT386;NAMPA;PDS54;2,95;250;736,32;0,25;184,08;552,24;171,20
Actuals;10101;19-7-2013;Ahoy Place (AP 2);ST163;-116,495559;43,63173984;CT386;NAMPA;PDS54;4,01;240;962,53;0,24;231,01;731,53;160,94
Actuals;10548;1-6-2013;Ahoy Place (AP 2);ST163;-116,495559;43,63173984;CT386;NAMPA;PDS75;3,45;240;827,60;0,24;198,62;628,98;232,72
